CompACT,HStile,HSGPA,ActionDate,ApplDate,BDt,TotalSAT,Gender,Ethnicity,AcadPlan,zipdisk
0,0,0,141,141,10942,850,M,Hispanic,DINDE-BS,396.2855472
0,0,0,184,184,10948,1080,M,Hispanic,DMATH-BA,19.05071384
18,74,3.44,275,100,11093,960,F,Hispanic,DBIOL-BS,12.61565729
21,47,3.42,319,243,10953,1070,M,Hispanic,DBIOL-BS,12.61565729
20,7,3.246,450,113,11165,980,M,White,DBIOL-BS,21.19063763
0,0,0,54,54,10991,1160,F,African American,DLSCM-BS,247.0853144
0,66,3.731,358,115,11047,1040,M,Hispanic,DPSYC-BA,11.11464643
0,0,0,149,149,11137,860,F,Hispanic,DCDFS-BS,29.46979202
15,95,3.86,275,117,11130,930,F,Hispanic,DPSYC-BA,22.60129595
0,27,3.078,450,136,11031,940,M,African American,DCOMM-BA,23.34947363
0,0,0,85,85,10785,0,F,White,DPSYC-BA,397.3942432
0,89,3.583,275,96,11313,950,F,Hispanic,DBUND,12.61565729
15,71,4.11,205,134,11226,1050,M,Hispanic,DPBHLTH-BA,44.17320894
0,0,0,137,137,11076,0,F,Hispanic,DINDE-BS,46.75188831
18,0,0,19,19,11289,0,F,African American,DBIOL-BS,46.55514846
14,25,3.01,402,365,10795,0,F,African American,DPBHLTH-BS,27.25999507
0,0,0,22,22,11169,1350,F,Asian,DCSIT-BA,42.5121046
0,0,0,130,130,10889,0,M,African American,DCRJS-BS,11.11464643
26,0,0,254,254,11256,0,M,Asian,DBIOL-BS,251.8088846
0,0,0,114,114,11182,1070,F,Hispanic,DBUND,35.43677286
0,0,0,25,25,11516,0,M,African American,DBIOL-BS,11.11464643
0,60,3.188,32,32,11175,1240,F,African American,DINDE-BS,60.65539895
16,0,2.45,450,26,11073,0,M,Hispanic,DBUND,22.49820842
17,55,2.871,450,285,10900,0,F,African American,DUNDECIDED,0
17,0,0,29,29,11059,0,M,White,DGNBU-BBA,295.869677
19,24,2.7,450,29,10963,950,F,African American,DCRJS-BS,63.14976375
0,0,0,29,29,10964,1100,F,Hispanic,DPOLS-BA,19.48887532
26,81,3.829,275,30,11152,0,F,White,DINDE-BS,459.042139
31,0,3.44,450,30,11214,1370,F,White,DPOLS-BA,41.21805566
20,90,3.563,450,92,11134,990,F,Hispanic,DPBHLTH-BA,15.9239836
20,0,0,33,33,10591,1230,F,Hispanic,DPSYC-BA,45.43987291
0,0,0,365,37,11236,1180,F,Hispanic,DGNBU-BBA,376.4008912
0,0,0,37,37,10615,0,M,African American,DBUND,11.11464643
21,0,0,37,37,11190,1110,M,African American,DPSYC-BA,365.1246618
0,0,0,37,37,11283,930,F,White,DCDFS-BS,364.9910424
0,0,0,39,39,11060,0,F,Hispanic,DPSYC-BA,63.01374163
0,86,3.74,396,38,11250,1080,F,Hispanic,DCRJS-BS,405.0958882
18,0,0,52,52,11038,1050,F,African American,DCOMM-BA,259.8265943
0,0,0,358,45,11187,1140,F,Hispanic,DMATH-BA,5.009297949
0,0,0,79,79,11199,1300,M,African American,DINDE-BS,379.4778482
0,0,0,47,47,11187,1020,M,Asian,DCOMM-BA,19.48887532
0,32,2.71,47,47,11177,1120,M,Hispanic,DPSYC-BA,26.20209262
18,0,0,50,50,11104,970,F,White,DPSYC-BA,26.75111795
22,0,0,51,51,11040,1070,F,Hispanic,DHPMGT-BBA,302.4462513
0,35,3.44,450,51,11071,1170,F,White,DPSYC-BA,374.3311326
0,77,3.25,450,52,11209,1040,F,Hispanic,DPBHLTH-BS,339.7947295
19,0,0,52,52,10991,1210,F,Hispanic,DBIOL-BS,259.8265943
0,93,3.25,450,113,11081,1320,M,Hispanic,DBIOL-BS,23.34947363
0,0,4.55,225,54,10955,1170,F,Hispanic,DBIOL-BS,341.908158
